,Title,Authors,Avg Ratings,Ratings,Published_year,Pages
770,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
771,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
772,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
773,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
774,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
775,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
776,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
777,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
778,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
779,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
780,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
781,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
782,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
783,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
784,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
785,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
786,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
787,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
788,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
789,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
790,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
791,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
792,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
793,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
794,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
795,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
796,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
797,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
798,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
799,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
800,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
801,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
802,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
803,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
804,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
805,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
806,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
807,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
808,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
809,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
810,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
811,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
812,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
813,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
814,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
815,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
816,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
817,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
818,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
819,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
820,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
821,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
822,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
823,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
824,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
825,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
826,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
827,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
828,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
829,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
830,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
831,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
832,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
833,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
834,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
835,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
836,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
837,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
838,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
839,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
840,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
841,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
842,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
843,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
844,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
845,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
846,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
847,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
848,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
849,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
850,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
851,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
852,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
853,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
854,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
855,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
856,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
857,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
858,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
859,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
860,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
861,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
862,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
863,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
864,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
865,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
866,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
867,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
868,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
869,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
870,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
871,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
872,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
873,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
874,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
875,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
876,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
877,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
878,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
879,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
880,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
881,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
882,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
883,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
884,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
885,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
886,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
887,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
888,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
889,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
890,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
891,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
892,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
893,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
894,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
895,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
896,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
897,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
898,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
899,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
900,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
901,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
902,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
903,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
904,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
905,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
906,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
907,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
908,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
909,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
910,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
911,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
912,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
913,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
914,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
915,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
916,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
917,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
918,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
919,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
920,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
921,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
922,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
923,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
924,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
925,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
926,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
927,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
928,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
929,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
930,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
931,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
932,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
933,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
934,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
935,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
936,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
937,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
938,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
939,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
940,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
941,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
942,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
943,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
944,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
945,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
946,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
947,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
948,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
949,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
950,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
951,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
952,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
953,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
954,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
955,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
956,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
957,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
958,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
959,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
960,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
961,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
962,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
963,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
964,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
965,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
966,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
967,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
968,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
969,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
970,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
971,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
972,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
973,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
974,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
975,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
976,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
977,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
978,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
979,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
980,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
981,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
982,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
983,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
984,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
985,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
986,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
987,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
988,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
989,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
990,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
991,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
992,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
993,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
994,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
995,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
996,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
997,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
998,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
999,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,376705,1983,228.0
1000,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3730716,1998,341.0
1001,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.28,3781804,1937,366.0
1002,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,4.58,3140961,2005,652.0
1003,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2409554,1996,835.0
1004,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,2738000,1954,432.0
1005,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,1847530,2015,419.0
1006,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41,909980,1998,784.0
1007,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.48,923793,1954,448.0
1008,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,921142,2007,662.0
1009,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.56,859338,1955,432.0
1010,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,874246,2015,465.0
1011,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.47,629105,2006,537.0
1012,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2796928,2005,377.0
1013,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.23,2681223,1950,206.0
1014,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.94,909466,2012,358.0
1015,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,757980,2000,1177.0
1016,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1182547,2012,432.0
1017,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.16,712480,2005,1060.0
1018,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1488947,1995,399.0
1019,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.94,1712396,2002,503.0
1020,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.06,1034909,2018,370.0
1021,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,1358088,2016,624.0
1022,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.33,635953,2011,1125.0
1023,American Gods (Kindle Edition),Neil Gaiman,4.11,903828,2001,635.0
1024,The Night Circus (Hardcover),Erin Morgenstern,4.02,931026,2011,400.0
1025,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1951759,2007,485.0
1026,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6305687,2005,498.0
1027,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,4.06,334081,2015,400.0
1028,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,454838,2010,1007.0
1029,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.25,710830,1990,491.0
1030,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,1107675,2017,703.0
1031,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,590485,2016,561.0
1032,Stardust (Paperback),Neil Gaiman,4.1,438109,1999,248.0
1033,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,514230,1996,370.0
1034,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1077147,2006,448.0
1035,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.35,770124,2013,432.0
1036,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,535378,2011,994.0
1037,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.38,429766,2007,578.0
1038,"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,573574,2013,435.0
1039,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.52,657986,1955,1216.0
1040,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.18,309215,1995,435.0
1041,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,284548,2006,752.0
1042,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.5,976134,2016,343.0
1043,The Ocean at the End of the Lane (Paperback),Neil Gaiman,4.02,596650,2013,195.0
1044,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,974146,2007,320.0
1045,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.01,945438,2015,388.0
1046,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,451283,2008,471.0
1047,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.53,392955,2008,572.0
1048,Uprooted (Hardcover),Naomi Novik,4.04,227950,2015,438.0
